epoca;gen;ac;ap;nc;ng;areac;compg;largg;nr;mc;rgpla;icc;ngcap;mmg
E1;G1;43;70;34;196;0.388043049;0.431479842;0.225354522;0;1.52;1.18;0.776315789;5.764705882;6.020408163
E1;G2;43;70;16;130;0.383090456;0.432026608;0.226100387;0;0.88;0.66;0.75;8.125;5.076923077
E1;G3;37;73;41;317;0.395915548;0.443317084;0.232164938;0;2.33;1.82;0.78111588;7.731707317;5.741324921
E1;G4;65;100;98;700;0.402242978;0.435175406;0.244536089;1;5.53;4.22;0.763110307;7.142857143;6.028571429
E1;G5;43;64;14;114;0.427303089;0.432873297;0.220198053;0;0.82;0.67;0.817073171;8.142857143;5.877192982
E1;G6;41;69;37;232;0.37705247;0.423291368;0.218033196;1;1.57;1.18;0.751592357;6.27027027;5.086206897
E1;G7;50;78;30;176;0.384354541;0.411389665;0.214899732;0;1.17;0.9;0.769230769;5.866666667;5.113636364
E1;G8;46;58;6;42;0.412613576;0.423785452;0.219804343;0;0.23;0.17;0.739130435;7;4.047619048
E1;G9;74;96;48;317;0.445214908;0.394564316;0.227941035;1;2.5;2.03;0.812;6.604166667;6.403785489
E1;G10;71;96;34;244;0.443623562;0.373062855;0.214845725;2;2.05;1.5;0.731707317;7.176470588;6.147540984
E1;G11;50;73;26;164;0.408756008;0.357852725;0.211150615;0;1.26;0.93;0.738095238;6.307692308;5.670731707
E1;G12;60;75;14;96;0.379847358;0.335991524;0.207278738;0;0.67;0.5;0.746268657;6.857142857;5.208333333
E1;G13;50.5;73;90;542;0.384348553;0.331025333;0.2030208;2;3.85;2.75;0.714285714;6.022222222;5.073800738
E1;G14;66;85;35;258;0.411113512;0.318032707;0.183773108;2;1.81;1.38;0.762430939;7.371428571;5.348837209
E1;G15;44.3;65.5;17;108;0.430854855;0.382252036;0.223891344;0;0.8;0.57;0.7125;6.352941176;5.277777778
E1;G16;53;69.5;34;246;0.382646792;0.347951541;0.208010422;2;1.61;1.26;0.782608696;7.235294118;5.12195122
E1;G17;69;87;22;153;0.436371047;0.37630399;0.232861513;1;1.26;0.94;0.746031746;6.954545455;6.14379085
E1;G18;42;62;31;210;0.329405524;0.429627905;0.237498843;1;1.58;1.17;0.740506329;6.774193548;5.571428571
E1;G19;38;68;39;228;0.388726144;0.45211939;0.245395917;2;1.92;1.52;0.791666667;5.846153846;6.666666667
E1;G20;39;69;39;221;0.398116487;0.455584979;0.25201058;2;2.05;1.64;0.8;5.666666667;7.42081448
E1;G21;41;60;34;184;0.397214832;0.433409628;0.243295491;1;1.84;1.42;0.77173913;5.411764706;7.717391304
E1;G22;44;74;31;173;0.388047263;0.429644802;0.238709794;1;1.35;1.11;0.822222222;5.580645161;6.416184971
E1;G23;35;60;33;210;0.407978871;0.441591349;0.243153121;0;1.78;1.34;0.752808989;6.363636364;6.380952381
E1;G24;47;76;7;26;0.339367868;0.452364294;0.247399487;0;0.23;0.14;0.608695652;3.714285714;5.384615385
E1;G25;48;82;29;153;0.370022264;0.438438946;0.242499093;0;1.26;0.94;0.746031746;5.275862069;6.14379085
E1;G26;74;90;11;45;0.343134246;0.346083657;0.201697664;0;0.35;0.18;0.514285714;4.090909091;4
E1;G27;68;92;24;74;0.402711324;0.396703407;0.23802987;2;0.86;0.74;0.860465116;3.083333333;10
E1;G28;58;87;47;139;0.413118117;0.377655842;0.227958448;1;2.44;1.85;0.758196721;2.957446809;13.30935252
E1;G29;54;87;65;328;0.412076271;0.404013438;0.24249588;3;3.05;2.42;0.793442623;5.046153846;7.37804878
E1;G30;76;103;18;78;0.451181327;0.424208042;0.236288322;0;0.82;0.55;0.670731707;4.333333333;7.051282051
E1;G31;49;72;42;422;0.480564829;0.391713706;0.236638423;1;2.31;1.77;0.766233766;10.04761905;4.194312796
E1;G32;67;88;9;53;0.318160289;0.360086921;0.219366393;0;0.34;0.22;0.647058824;5.888888889;4.150943396
E1;G33;63;89;39;295;0.399826163;0.38352623;0.236051427;2;1.83;1.1;0.601092896;7.564102564;3.728813559
E1;G34;68;94;5;16;0.39100346;0.407175048;0.246520852;0;0.18;0.09;0.5;3.2;5.625
E1;G35;68;86;19;220;0.41109062;0.389875941;0.234374355;2;0.61;0.3;0.491803279;11.57894737;1.363636364
E1;G36;40;77;72;438;0.393719126;0.387274303;0.214078408;2;3.51;2.66;0.757834758;6.083333333;6.073059361
