img,id,length
img_7,408,4.0335913
img_115,475,3.48792795
img_366,110,4.70473997
img_462,504,3.97940194
img_155,22,3.73924945
img_26,186,3.73853649
img_57,49,3.93183448
img_573,317,3.4765068
img_99,8,4.42182757
img_523,522,4.18314917
img_19,308,3.84594447
img_28,6,4.0807018
img_373,22,4.69806854
img_255,50,3.84796348
img_51,263,3.91230915
img_389,65,3.67996193
img_50,520,3.3912068
img_496,490,4.05302275
img_493,243,3.82339145
img_499,649,3.36127766
img_32,98,4.1505392
img_34,157,3.97716927
img_535,65,3.47452275
img_488,159,3.64450541
img_200,617,3.52544916
img_266,211,3.25287048
img_112,300,3.89450143
img_282,384,4.70706394
img_386,652,3.26703923
img_83,19,3.90098889
img_336,542,3.18351786
img_57,287,3.68737086
img_462,541,3.87618253
img_462,275,4.17641554
img_500,393,3.54835764
img_529,120,3.85792537
img_54,175,4.10032122
img_227,188,3.52905098
img_206,323,4.06564592
img_498,240,3.72808594
img_564,232,3.66256448
img_280,559,2.9531832
img_15,122,3.91463449
img_129,2,4.06751022
img_276,236,3.68479846
img_106,240,3.62166477
img_33,22,4.51263391
img_338,486,3.74511228
img_278,99,4.27891733
img_286,466,3.5514467
img_7,569,4.07901404
img_19,436,4.12401585
img_34,229,3.8824272
img_45,161,3.78837779
img_385,489,3.96200454
img_250,300,2.93755737
img_499,870,3.2137363
img_564,459,3.57269446
img_204,523,4.05979171
img_320,208,3.75412478
img_48,701,3.54412893
img_192,429,4.20060014
img_499,667,3.5632423
img_233,203,4.31033434
img_172,103,4.13634175
img_265,214,3.90926708
img_339,445,3.31434383
img_131,22,4.12922708
img_189,12,3.94893723
img_473,136,3.7567671
img_236,168,3.32277573
img_221,1033,3.45599168
img_12,47,3.58917855
img_4,126,3.99802019
img_498,952,3.16028289
img_131,21,4.08128738
img_13,749,4.00940023
img_539,259,3.85419101
img_499,1076,3.69219147
img_73,368,4.08013543
img_138,64,3.71835515
img_544,60,3.66622664
img_237,375,3.43748887
img_47,341,3.75997458
img_430,89,3.59681168
img_95,208,3.77676247
img_288,274,3.5934411
img_115,7,4.0216086
img_515,269,4.14467862
img_191,638,3.75492164
img_100,121,4.02937371
img_111,254,3.8027425
img_277,1177,3.95463177
img_327,289,3.97038206
img_275,179,3.78130178
img_230,59,3.62489381
img_387,216,3.78727441
img_385,309,3.69017572
img_303,289,3.66381269
img_489,346,3.91375861
img_191,928,3.54809108
img_378,373,3.62418252
img_136,116,3.57907741
img_546,855,4.02257766
img_44,410,3.22036592
img_471,263,3.69870687
img_563,115,3.68065659
img_48,711,3.48112373
img_140,104,3.41185342
img_257,817,3.60643631
img_307,45,3.60425353
img_499,846,3.72627395
img_270,425,4.0151349
img_286,229,3.43269782
img_376,109,3.96204229
img_564,296,3.64878992
img_292,499,3.70320457
img_523,407,3.6586124
img_499,1026,3.67862904
img_226,394,3.616747
img_220,24,3.70225707
img_287,681,3.24073132
img_90,5,4.30177789
img_17,172,3.69864743
img_226,758,3.52447525
img_396,352,3.85787931
img_268,108,4.04627474
img_191,1420,3.63579304
img_336,462,3.23730949
img_201,79,3.88172962
img_523,608,4.058955
img_340,330,3.48946813
img_61,82,3.56388021
img_366,119,4.28827214
img_520,91,4.06186746
img_283,468,3.7056623
img_100,61,3.92800947
img_287,545,3.01295764
img_92,738,4.11105222
img_92,789,4.18427935
img_191,4,3.9508284
img_60,566,3.57445145
img_23,747,3.67002145
img_282,892,4.14567727
img_201,1225,2.80302111
img_15,174,3.6230591
img_336,205,3.46086834
img_35,6,4.39416017
img_524,1063,3.76329122
img_196,359,3.97039801
img_67,16,3.67776389
img_63,256,3.68279811
img_38,389,4.02531039
img_251,214,3.77133038
img_520,196,3.61900052
img_27,19,3.52521695
img_288,28,3.41693404
img_61,479,3.66994021
img_303,201,3.84614832
img_38,70,4.59912723
img_204,612,4.02295415
img_317,91,3.97485763
img_236,20,3.4999002
img_382,80,3.98458293
img_131,347,3.53330285
img_45,385,3.4143526
img_255,166,3.80640489
img_12,204,3.87978969
img_292,280,4.06697292
img_314,92,3.86473608
img_386,480,3.33588186
img_250,8,3.73396781
img_194,852,3.85172327
img_489,60,3.78720389
img_281,391,3.70812596
img_107,520,3.62889946
img_23,274,4.14402765
img_227,403,3.39846119
img_503,70,3.92040963
img_194,980,3.75664296
img_462,214,4.16889791
img_367,139,4.67569246
img_47,312,3.75824261
img_2,787,3.76848905
img_274,221,3.92819868
img_330,78,3.73484255
img_206,9,4.5516765
img_200,1906,3.68231939
img_200,1775,3.69853684
img_226,330,3.59613005
img_303,371,3.84619671
img_27,436,3.00622614
img_463,378,3.94235834
img_258,47,3.90842617
img_527,555,3.35998878
img_25,50,4.29118668
img_268,174,4.09731802
img_490,173,4.17638947
img_489,284,3.57194233
img_188,179,3.8563831
img_94,590,3.47974803
img_431,111,4.45710349
img_1,368,4.26509306
img_29,409,3.60085669
img_17,576,3.57344517
img_7,807,3.34806521
img_513,551,4.04513777
img_257,909,3.67422685
img_137,301,3.68039841
img_494,27,3.66228719
img_341,745,3.20951753
img_490,352,4.0354445
img_535,21,3.51435489
img_293,168,4.19785509
img_154,766,3.93470699
img_362,178,3.94786115
img_54,25,4.25212846
img_543,149,3.68389786
img_23,637,4.15382592
img_131,290,3.75428982
img_336,548,3.44014981
img_252,617,3.6611626
img_237,421,3.29997067
img_112,4,4.37022409
img_488,585,3.88938342
img_499,644,3.66463422
img_19,632,3.9687161
img_516,82,4.69339748
img_118,167,3.89034626
img_534,103,3.58761368
img_20,819,3.59911552
img_152,33,4.0937806
img_316,69,3.27594352
img_6,845,3.62789605
img_574,476,3.60220611
img_57,271,3.73213019
img_127,81,3.58809771
img_309,140,3.76482695
img_497,498,3.38843282
img_24,281,3.97910477
img_500,267,4.03869178
img_134,116,3.88541291
img_1,715,3.87765465
img_100,113,4.01783856
img_55,170,4.15298558
img_281,474,3.84281982
img_201,199,3.86621438
img_464,199,4.02203545
img_286,153,3.41838532
img_536,678,3.87155265
img_282,472,4.24122819
img_499,317,3.58037028
img_333,229,3.98810768
img_496,359,4.66201293
img_47,28,3.79111191
img_501,142,4.08957451
img_230,174,3.42798326
img_524,539,4.13476942
img_192,339,4.18286796
img_46,375,3.76438159
img_382,150,3.53349004
img_464,217,4.10020381
img_561,115,3.90295558
img_497,351,3.65056503
img_126,197,3.53562649
img_3,290,4.01852322
img_128,17,4.01879498
img_501,356,3.86094607
img_498,113,3.54293515
img_173,285,3.94139723
img_386,92,3.37043556
img_12,109,4.0956358
img_230,654,3.43492263
img_217,258,3.43669289
img_129,917,3.31807768
img_292,56,3.80281611
img_50,436,3.58264305
img_46,577,3.34573573
img_492,357,4.02722711
img_472,726,3.60842161
img_461,300,3.37615735
img_254,115,3.86664879
img_327,321,3.52037143
img_421,186,3.96976967
img_192,515,4.08737842
img_200,537,3.6513776
img_195,121,3.63508527
img_564,329,3.58239121
img_259,189,3.95511669
img_249,70,3.79967631
img_46,438,3.64213484
img_190,101,3.72767021
img_246,659,3.12002171
img_265,53,3.98514983
img_527,530,3.2911378
img_220,7,3.82576007
img_200,759,3.7632386
img_115,79,3.7448114
img_214,67,3.93622874
img_311,130,3.76284128
img_253,186,4.18166775
img_433,49,3.75467109
img_375,1500,4.13260568
img_302,78,3.99306659
img_184,43,3.52371323
img_375,470,3.92779594
img_286,1144,3.4831141
img_125,60,3.92035028
img_384,222,3.60579991
img_315,82,3.76171593
img_451,36,3.99041959
img_3,82,4.14695199
img_132,326,3.48203663
img_11,595,3.80966607
img_37,192,3.61995945
img_259,1150,3.83176095
img_132,201,3.9913509
img_256,796,3.786892
img_526,441,3.28033962
img_36,52,3.93726444
img_293,7,4.29553719
img_525,323,3.86483158
img_206,174,4.15529779
img_283,338,3.67555912
img_524,685,3.87862442
img_513,311,3.9754408
img_310,236,3.68819875
img_522,656,3.34549947
img_496,387,3.84606498
img_362,518,3.8064796
img_389,320,4.00812035
img_490,72,4.20776097
img_137,441,3.62198178
img_137,229,3.69519096
img_246,111,3.22465408
img_496,577,3.98361197
img_211,399,4.33232512
img_386,53,3.30912769
img_1,243,3.79468801
img_272,963,3.91077403
img_200,608,3.79781141
img_425,65,3.80369178
img_331,548,3.69847944
img_488,381,4.12634707
img_78,790,3.64572905
img_196,24,3.80226442
img_271,1021,3.8442943
img_472,602,3.56405276
img_364,177,4.0897372
img_97,62,3.76143142
img_488,422,3.68741834
img_221,696,3.60893113
img_76,162,3.69762332
img_218,111,4.53283186
img_204,182,4.28712995
img_206,237,4.26830448
img_389,170,3.39128179
img_96,102,4.09648777
img_13,1296,3.72970492
img_218,302,3.36968734
img_498,1363,3.4814274
