BLOCO;HIBRIDO;DOSEN;RG
I;NUPEC_1;0;11.2
I;NUPEC_1;25;12.4
I;NUPEC_1;50;13
I;NUPEC_1;75;12.53
I;NUPEC_1;100;11.38
I;NUPEC_2;0;9.22
I;NUPEC_2;25;9.7
I;NUPEC_2;50;10.11
I;NUPEC_2;75;10.85
I;NUPEC_2;100;11.36
II;NUPEC_1;0;11.5
II;NUPEC_1;25;12.82
II;NUPEC_1;50;13.18
II;NUPEC_1;75;12.72
II;NUPEC_1;100;11.51
II;NUPEC_2;0;9.3
II;NUPEC_2;25;10.05
II;NUPEC_2;50;9.91
II;NUPEC_2;75;10.79
II;NUPEC_2;100;11.3
III;NUPEC_1;0;11.74
III;NUPEC_1;25;12.64
III;NUPEC_1;50;12.44
III;NUPEC_1;75;12.64
III;NUPEC_1;100;11.53
III;NUPEC_2;0;9.14
III;NUPEC_2;25;10.1
III;NUPEC_2;50;9.86
III;NUPEC_2;75;10.72
III;NUPEC_2;100;11.44
IV;NUPEC_1;0;11.8
IV;NUPEC_1;25;12.52
IV;NUPEC_1;50;13.12
IV;NUPEC_1;75;12.62
IV;NUPEC_1;100;11.76
IV;NUPEC_2;0;9.16
IV;NUPEC_2;25;9.82
IV;NUPEC_2;50;9.92
IV;NUPEC_2;75;10.9
IV;NUPEC_2;100;11.36
